Step,KineticEnergy
10,0.223565
20,0.831291
30,1.77599
40,2.9582
50,4.27234
60,5.62141
70,6.92801
80,8.13196
90,9.20401
100,10.1469
110,10.9866
120,11.7683
130,12.5413
140,13.3439
150,14.1977
160,15.0991
170,16.039
180,17.0121
190,17.9909
200,18.96
210,19.8879
220,20.7636
230,21.5767
240,22.3272
250,23.0432
260,23.7311
270,24.3966
280,25.0426
290,25.6549
300,26.2165
310,26.724
320,27.1675
330,27.5465
340,27.8692
350,28.1551
360,28.4009
370,28.6131
380,28.8026
390,28.9689
400,29.1173
410,29.258
420,29.3937
430,29.514
440,29.6096
450,29.6689
460,29.6948
470,29.68
480,29.6234
490,29.5235
500,29.3892
510,29.2276
520,29.0399
530,28.8278
540,28.5986
550,28.3529
560,28.1005
570,27.8314
580,27.5419
590,27.2306
600,26.9019
610,26.5605
620,26.2104
630,25.8564
640,25.4961
650,25.1314
660,24.7682
670,24.4093
680,24.0602
690,23.7177
700,23.38
710,23.0477
720,22.7214
730,22.4064
740,22.1013
750,21.799
760,21.4903
770,21.1729
780,20.8459
790,20.5102
800,20.1679
810,19.8203
820,19.4717
830,19.1215
840,18.7719
850,18.424
860,18.0806
870,17.7428
880,17.412
890,17.0917
900,16.7809
910,16.4783
920,16.1858
930,15.8991
940,15.6129
950,15.3238
960,15.0291
970,14.7279
980,14.4249
990,14.1215
1000,13.8266
1010,13.5406
1020,13.264
1030,13.0011
1040,12.7604
1050,12.5391
1060,12.3321
1070,12.1371
1080,11.9478
1090,11.76
1100,11.572
1110,11.3852
1120,11.206
1130,11.03
1140,10.8639
1150,10.7018
1160,10.5447
1170,10.3857
1180,10.2326
1190,10.088
1200,9.94736
1210,9.79531
1220,9.65538
1230,9.52129
1240,9.3872
1250,9.25645
1260,9.12205
1270,8.99547
1280,8.87318
1290,8.75084
1300,8.62356
1310,8.49353
1320,8.35748
1330,8.21757
1340,8.07719
1350,7.93546
1360,7.78289
1370,7.62893
1380,7.46646
1390,7.31058
1400,7.15928
1410,7.00652
1420,6.86133
1430,6.7159
